gene	lv1	lv2	rv1	rv2	genelength
BC037034	496	472	2327	3848	2535
Prkaa1	771	822	3105	3704	4646
Btbd11	18	33	145	195	5937
Urgcp	572	527	3511	3705	5604
Fbxo22	616	592	3334	3985	2095
Flt3l	27	17	62	113	1066
Mir1947	0	0	0	0	84
Mmp2	1057	1286	8194	7774	3028
Mcam	1670	2009	22969	24688	2876
1700028P14Rik	0	0	0	0	862
Igbp1	656	608	2598	3078	1512
Olfr1506	0	0	0	0	1082
Mir484	0	0	0	0	66
1700011M02Rik	0	0	0	0	417
Cyp7b1	19	8	52	68	2160
Sytl3	1	0	1	7	2440
Rnu12	0	0	1	0	149
Gm4788	0	0	4	7	2872
Olfr476	0	0	0	0	932
Tmco3	460	452	2556	2851	4520
Gm16325	0	0	3	7	3170
I830012O16Rik	2	0	8	3	2011
Cmbl	52	78	288	305	1035
Car3	38	30	79	130	1522
Lsm14b	1084	1124	6236	7915	2525
Zc3h14	1015	1124	5623	7368	4166
2700054A10Rik	12	14	60	95	4343
Slc22a14	0	0	2	1	2186
Psma2	680	571	2765	3474	938
Arfgef1	1244	1416	5727	7107	7004
Gm13278_1	0	0	0	0	1461
Twist2	20	8	10	46	1310
Lipi	0	0	0	0	2179
Tesk1	929	847	4673	5300	3610
Rab11fip1	399	381	1488	2125	7959
Gm13285_3	0	0	0	0	548
Wdr4	387	334	1785	2533	3879
Tcte3	0	0	1	0	787
Gm10486_11	0	0	0	0	915
Nanogpd	2	4	12	14	883
Vmn1r189	0	0	0	0	938
Pcdhgc3	5472	5881	27465	27931	4682
A430005L14Rik	273	219	1007	1152	1093
Cyp2c37	0	0	0	0	1815
Ggct	93	92	260	337	1358
Gm10390	44	61	356	364	3974
Dnahc2	24	34	118	174	13618
Zfp367	286	325	2027	2310	3485
Tmc4	79	91	205	466	2331
Ndrg1	85	92	702	834	2874
Pop5	480	352	1169	1321	983
Myl12a	4534	3981	11872	13762	1775
Fbxo2	7	2	12	1	1228
Cdc14a	154	138	638	945	4469
Cntnap5a	0	0	3	0	3891
Rfx5	319	377	1666	2516	4180
Cdh16	100	81	430	527	3298
Taf7	328	294	1579	1792	3300
Olfr441	0	0	0	0	932
Inpp4a	215	287	1582	2094	6789
Trim26	327	372	1929	2440	3193
Fam124b	0	1	7	6	2860
Lrp1	798	1303	8463	9360	14802
Dnttip2	935	899	3833	4558	2396
Olfr1277	0	0	0	0	911
Olfr1228	0	0	0	0	971
Stx16	687	839	4168	6653	3727
Lcn11	0	0	0	0	646
Ophn1	129	156	701	951	3907
Baiap2	444	481	1901	2654	3595
Vmn1r151	0	0	0	0	917
Filip1l	358	362	2070	2502	4038
Abhd1	264	203	595	746	1347
Mir467a-1_3	0	0	0	0	72
Eif4e2	2261	1984	9012	10991	4920
Fpr-rs3	0	0	0	0	1031
Nkiras1	244	199	812	928	4585
Slc16a13	128	154	557	638	2524
Fut2	8	6	37	138	2863
Tfcp2l1	106	139	335	495	9255
Taf10	926	611	3647	3532	752
Spg21	520	400	2189	2351	2681
Tmem170b	181	290	1674	2074	7167
Tmem183a	1140	983	5007	6095	3161
Tbx10	2	4	2	2	1770
Cdcp1	2	2	7	45	3840
E2f3	763	776	3819	4698	5090
Sdc4	524	475	2789	2814	2455
Ints6	423	400	2166	2641	4976
Olfr1453	0	0	0	0	923
Add3	5184	5050	18628	21666	4920
Sema3f	303	253	1100	1429	3375
Olfr169	0	0	0	0	941
Cfl1	6912	6667	24553	29152	1180
Ifi27l2b	0	0	1	5	1086
Tmem200c	3	13	22	27	3211
Mir3109	0	0	0	0	87
Vmn1r165_1	0	0	0	0	923
1810019J16Rik	13	10	24	57	1792
Zfp251	370	351	2089	2609	3497
Spef1	66	68	515	832	2257
Dclk2	124	139	631	1034	4181
Olfr1029	0	0	0	0	1060
Rpl7	718	666	3773	4935	927
Rbm45	442	362	2550	3193	1887
Asphd2	18	13	77	107	1583
Rhox6	0	2	3	10	861
Gm16157	0	0	0	0	1335
G630016D24Rik	10	19	119	185	1220
Sgcd	45	91	487	479	1391
Setx	681	768	4646	5711	10944
Hyal1	29	35	188	358	2171
Ocln	15	13	56	58	3183
Pacrgl	86	62	369	444	1455
Zbtb20	42	81	562	747	3131
Tmem144	165	157	717	1052	2280
